substrate_code,substrate_name
BR,BEDROCK
C,COBBLE
HARD,HARD
INCD,INCIDENTAL HARD
LB,LARGE BOULDER
MB,MEDIUM BOULDER
MS,MUDSTONE
P,PEBBLE
S,SAND
SB,SMALL BOULDER
SH,SHELL HASH
UNKN,UNKNOWN HARD
